.	0	3	12	26	38	
.	0	105	652754	1790367	16290810	
.	1	3	12	26	38	
.	1	16	353631	933203	16290810	
.	2	12	26	38	
.	2	361945	977793	16290810	
.	3	12	26	38	
.	3	354444	959884	16290810	
.	4	12	26	38	
.	4	336958	971770	16290810	
.	5	12	26	38	
.	5	280365	841124	16290810	
.	6	12	26	38	
.	6	343485	960905	16290810	
.	7	12	26	38	
.	7	323780	922920	16290810	
.	8	12	26	38	
.	8	297011	817387	16290810	
.	9	12	26	38	
.	9	362812	1007808	16290810	
.	10	3	12	26	38	
.	10	3080	289944	820251	16290810	
.	11	3	12	26	38	
.	11	815	361030	991425	16290810	
.	12	12	26	38	
.	12	311441	866571	16290810	
.	13	12	26	38	
.	13	339501	916325	16290810	
.	14	12	26	38	
.	14	329374	910281	16290810	
.	15	12	26	38	
.	15	339175	946531	16290810	
.	16	12	26	38	
.	16	347299	965093	16290810	
.	17	12	26	38	
.	17	349143	969371	16290810	
.	18	12	26	38	
.	18	347641	962710	16290810	
.	19	12	26	38	
.	19	351383	961603	16290810	
.	20	12	26	38	
.	20	347883	965291	16290810	
.	21	12	26	38	
.	21	358775	980747	16290810	
.	22	12	26	38	
.	22	364796	991517	16290810	
.	23	12	26	38	
.	23	380211	1035589	16290810	
.	24	12	26	38	
.	24	393077	1061350	16290810	
.	25	12	26	38	
.	25	372150	1015788	16290810	
.	26	12	26	38	
.	26	394568	1063497	16290810	
.	27	12	26	38	
.	27	382755	1037340	16290810	
.	28	12	26	38	
.	28	382677	1035355	16290810	
.	29	12	26	38	
.	29	380584	1033967	16290810	
.	30	12	26	38	
.	30	378256	1031509	16290810	
.	31	12	26	38	
.	31	384180	1048899	16290810	
.	32	12	26	38	
.	32	385284	1051737	16290810	
.	33	12	26	38	
.	33	384901	1052183	16290810	
.	34	12	26	38	
.	34	396403	1078144	16290810	
.	35	12	26	38	
.	35	394365	1071603	16290810	
.	36	12	26	38	
.	36	397360	1082038	16290810	
.	37	12	26	38	
.	37	396608	1079110	16290810	
.	38	12	26	38	
.	38	397037	1083050	16290810	
.	39	12	26	38	
.	39	393525	1072894	16290810	
.	40	12	26	38	
.	40	399033	1089579	16290810	
.	41	12	26	38	
.	41	404151	1100392	16290810	
.	42	12	26	38	
.	42	407253	1106245	16290810	
.	43	12	26	38	
.	43	410020	1110921	16290810	
.	44	12	26	38	
.	44	413463	1121727	16290810	
.	45	12	26	38	
.	45	416000	1124700	16290810	
.	46	12	26	38	
.	46	434028	1173950	16290810	
.	47	12	26	38	
.	47	431769	1166056	16290810	
.	48	12	26	38	
.	48	424363	1144569	16290810	
.	49	12	26	38	
.	49	414220	1122566	16290810	
.	50	12	26	38	
.	50	423221	1147059	16290810	
.	51	12	26	38	
.	51	428424	1154597	16290810	
.	52	12	26	38	
.	52	427917	1153723	16290810	
.	53	12	26	38	
.	53	432295	1162739	16290810	
.	54	12	26	38	
.	54	432135	1162506	16290810	
.	55	12	26	38	
.	55	436050	1170414	16290810	
.	56	12	26	38	
.	56	435900	1171763	16290810	
.	57	12	26	38	
.	57	439751	1179393	16290810	
.	58	12	26	38	
.	58	440508	1183595	16290810	
.	59	12	26	38	
.	59	443720	1190251	16290810	
.	60	12	26	38	
.	60	445880	1195250	16290810	
.	61	12	26	38	
.	61	460888	1230640	16290810	
.	62	12	26	38	
.	62	454819	1215079	16290810	
.	63	12	26	38	
.	63	457758	1222908	16290810	
.	64	12	26	38	
.	64	456719	1219961	16290810	
.	65	12	26	38	
.	65	459337	1225713	16290810	
.	66	12	26	38	
.	66	459455	1224825	16290810	
.	67	12	26	38	
.	67	470129	1246354	16290810	
.	68	12	26	38	
.	68	466649	1241655	16290810	
.	69	12	26	38	
.	69	474058	1260054	16290810	
.	70	12	26	38	
.	70	489047	1299961	16290810	
.	71	12	26	38	
.	71	501548	1327747	16290810	
.	72	12	26	38	
