Species	Aligned bases	Abundance
Bacillus-subtilis	174093289	1.1639142576393031
Cryptococcus-neoformans	89419	0.0005978176964871338
Enterococcus-faecalis	71020070	0.4748102154100917
Escherichia-coli	13568454	0.09071295714749254
Lactobacillus-fermentum	551483	0.0036869825955536738
Listeria-monocytogenes	13280243088	88.78610062355136
Pseudomonas-aeruginosa	1288776159	8.616213496694394
Saccharomyces-cerevisiae	116445628	0.7785063252436023
Salmonella-enterica	12771137	0.08538243217729569
Staphylococcus-aureus	11202	7.489184441839958e-05
